,,0
0,Unnamed: 0,0
0,PassengerId,1
0,Survived,0
0,Pclass,3
0,Name,"Braund, Mr. Owen Harris"
0,Sex,male
0,Age,22.0
0,SibSp,1.0
0,Parch,0.0
0,Ticket,A/5 21171
0,Fare,7.25
0,Embarked,S
1,Unnamed: 0,1
1,PassengerId,2
1,Survived,1
1,Pclass,1
1,Name,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
1,Sex,female
1,Age,38.0
1,SibSp,1.0
1,Parch,0.0
1,Ticket,PC 17599
1,Fare,71.2833
1,Cabin,C85
1,Embarked,C
2,Unnamed: 0,2
2,PassengerId,3
2,Survived,1
2,Pclass,3
2,Name,"Heikkinen, Miss. Laina"
2,Sex,female
2,Age,26.0
2,SibSp,0.0
2,Parch,0.0
2,Ticket,STON/O2. 3101282
2,Fare,7.925
2,Embarked,S
3,Unnamed: 0,3
3,PassengerId,4
3,Survived,1
3,Pclass,1
3,Name,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
3,Sex,female
3,Age,35.0
3,SibSp,1.0
3,Parch,0.0
3,Ticket,113803
3,Fare,53.1
3,Cabin,C123
3,Embarked,S
4,Unnamed: 0,4
4,PassengerId,5
4,Survived,0
4,Pclass,3
4,Name,"Allen, Mr. William Henry"
4,Sex,male
4,Age,35.0
4,SibSp,0.0
4,Parch,0.0
4,Ticket,373450
4,Fare,8.05
4,Embarked,S
5,Unnamed: 0,5
5,PassengerId,6
5,Survived,0
5,Pclass,3
5,Name,"Moran, Mr. James"
5,Sex,male
5,SibSp,0.0
5,Parch,0.0
5,Ticket,330877
5,Fare,8.4583
5,Embarked,Q
6,Unnamed: 0,6
6,PassengerId,7
6,Survived,0
6,Pclass,1
6,Name,"McCarthy, Mr. Timothy J"
6,Sex,male
6,Age,54.0
6,SibSp,0.0
6,Parch,0.0
6,Ticket,17463
6,Fare,51.8625
6,Cabin,E46
6,Embarked,S
7,Unnamed: 0,7
7,PassengerId,8
7,Survived,0
7,Pclass,3
7,Name,"Palsson, Master. Gosta Leonard"
7,Sex,male
7,Age,2.0
7,SibSp,3.0
7,Parch,1.0
7,Ticket,349909
7,Fare,21.075
7,Embarked,S
8,Unnamed: 0,8
8,PassengerId,9
8,Survived,1
8,Pclass,3
8,Name,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
8,Sex,female
8,Age,27.0
8,SibSp,0.0
8,Parch,2.0
8,Ticket,347742
8,Fare,11.1333
8,Embarked,S
9,Unnamed: 0,9
9,PassengerId,10
9,Survived,1
9,Pclass,2
9,Name,"Nasser, Mrs. Nicholas (Adele Achem)"
9,Sex,female
9,Age,14.0
9,SibSp,1.0
9,Parch,0.0
9,Ticket,237736
9,Fare,30.0708
9,Embarked,C
10,Unnamed: 0,10
10,PassengerId,11
10,Survived,1
10,Pclass,3
10,Name,"Sandstrom, Miss. Marguerite Rut"
10,Sex,female
10,Age,4.0
10,SibSp,1.0
10,Parch,1.0
10,Ticket,PP 9549
10,Fare,16.7
10,Cabin,G6
10,Embarked,S
11,Unnamed: 0,11
11,PassengerId,12
11,Survived,1
11,Pclass,1
11,Name,"Bonnell, Miss. Elizabeth"
11,Sex,female
11,Age,58.0
11,SibSp,0.0
11,Parch,0.0
11,Ticket,113783
11,Fare,26.55
11,Cabin,C103
11,Embarked,S
12,Unnamed: 0,12
12,PassengerId,13
12,Survived,0
12,Pclass,3
12,Name,"Saundercock, Mr. William Henry"
12,Sex,male
12,Age,20.0
12,SibSp,0.0
12,Parch,0.0
12,Ticket,A/5. 2151
12,Fare,8.05
12,Embarked,S
13,Unnamed: 0,13
13,PassengerId,14
13,Survived,0
13,Pclass,3
13,Name,"Andersson, Mr. Anders Johan"
13,Sex,male
13,Age,39.0
13,SibSp,1.0
13,Parch,5.0
13,Ticket,347082
13,Fare,31.275
13,Embarked,S
14,Unnamed: 0,14
14,PassengerId,15
14,Survived,0
14,Pclass,3
14,Name,"Vestrom, Miss. Hulda Amanda Adolfina"
14,Sex,female
14,Age,14.0
14,SibSp,0.0
14,Parch,0.0
14,Ticket,350406
14,Fare,7.8542
14,Embarked,S
15,Unnamed: 0,15
15,PassengerId,16
15,Survived,1
15,Pclass,2
15,Name,"Hewlett, Mrs. (Mary D Kingcome) "
15,Sex,female
15,Age,55.0
15,SibSp,0.0
15,Parch,0.0
15,Ticket,248706
15,Fare,16.0
15,Embarked,S
16,Unnamed: 0,16
16,PassengerId,17
16,Survived,0
16,Pclass,3
16,Name,"Rice, Master. Eugene"
16,Sex,male
16,Age,2.0
16,SibSp,4.0
16,Parch,1.0
16,Ticket,382652
16,Fare,29.125
16,Embarked,Q
17,Unnamed: 0,17
17,PassengerId,18
17,Survived,1
17,Pclass,2
17,Name,"Williams, Mr. Charles Eugene"
17,Sex,male
17,SibSp,0.0
17,Parch,0.0
17,Ticket,244373
17,Fare,13.0
17,Embarked,S
18,Unnamed: 0,18
18,PassengerId,19
18,Survived,0
18,Pclass,3
18,Name,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
18,Sex,female
18,Age,31.0
18,SibSp,1.0
18,Parch,0.0
18,Ticket,345763
18,Fare,18.0
18,Embarked,S
19,Unnamed: 0,19
19,PassengerId,20
19,Survived,1
19,Pclass,3
19,Name,"Masselmani, Mrs. Fatima"
19,Sex,female
19,SibSp,0.0
19,Parch,0.0
19,Ticket,2649
19,Fare,7.225
19,Embarked,C
20,Unnamed: 0,20
20,PassengerId,21
20,Survived,0
20,Pclass,2
20,Name,"Fynney, Mr. Joseph J"
20,Sex,male
20,Age,35.0
20,SibSp,0.0
20,Parch,0.0
20,Ticket,239865
20,Fare,26.0
20,Embarked,S
21,Unnamed: 0,21
21,PassengerId,22
21,Survived,1
21,Pclass,2
21,Name,"Beesley, Mr. Lawrence"
21,Sex,male
21,Age,34.0
21,SibSp,0.0
21,Parch,0.0
21,Ticket,248698
21,Fare,13.0
21,Cabin,D56
21,Embarked,S
22,Unnamed: 0,22
22,PassengerId,23
22,Survived,1
22,Pclass,3
22,Name,"McGowan, Miss. Anna ""Annie"""
22,Sex,female
22,Age,15.0
22,SibSp,0.0
22,Parch,0.0
22,Ticket,330923
22,Fare,8.0292
22,Embarked,Q
23,Unnamed: 0,23
23,PassengerId,24
23,Survived,1
23,Pclass,1
23,Name,"Sloper, Mr. William Thompson"
23,Sex,male
23,Age,28.0
23,SibSp,0.0
23,Parch,0.0
23,Ticket,113788
23,Fare,35.5
23,Cabin,A6
23,Embarked,S
24,Unnamed: 0,24
24,PassengerId,25
24,Survived,0
24,Pclass,3
24,Name,"Palsson, Miss. Torborg Danira"
24,Sex,female
24,Age,8.0
24,SibSp,3.0
24,Parch,1.0
24,Ticket,349909
24,Fare,21.075
24,Embarked,S
25,Unnamed: 0,25
25,PassengerId,26
25,Survived,1
25,Pclass,3
25,Name,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
25,Sex,female
25,Age,38.0
25,SibSp,1.0
25,Parch,5.0
25,Ticket,347077
25,Fare,31.3875
25,Embarked,S
26,Unnamed: 0,26
26,PassengerId,27
26,Survived,0
26,Pclass,3
26,Name,"Emir, Mr. Farred Chehab"
26,Sex,male
26,SibSp,0.0
